SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
PA,ANANINDEUA,ESTADUAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,PIRIPIRI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,TUCURUÍ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,SÃO JOSÉ DE MIPIBU,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,GARANHUNS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,CAPELA DE SANTANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
MT,TANGARÁ DA SERRA,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
SP,SÃO BERNARDO DO CAMPO,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
SC,ANCHIETA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,FORTALEZA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,PRIMAVERA DO LESTE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
MA,PINHEIRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,CABO DE SANTO AGOSTINHO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,COCAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PI,FLORIANO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RO,CACOAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
CE,CAUCAIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,PORTO SEGURO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
GO,CIDADE OCIDENTAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,SÃO VICENTE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,CANGUARETAMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,SÃO BERNARDO DO CAMPO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RO,VILHENA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,NOVA SERRANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SE,TOBIAS BARRETO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
